event_index,t,x1
0,0.0975995700674408,0.00087952419282677496
1,0.15014924757406867,-0.058284002905115484
2,0.15877113701053802,-0.046632500143661604
3,0.19485309053823441,-0.14513930055618496
4,0.35603600168108662,-0.22359216800653758
5,0.3654866209855594,-0.36178484665916177
6,0.36944918855003728,-0.19122982079974138
7,0.39168058724164068,0.028218351173736833
8,0.44491465455055856,0.0041453694792950024
9,0.47921869913955328,-0.17226724121995374
10,0.55806606508226664,-0.0091974893154307402
11,0.61576642485007005,-0.2320134667630378
12,0.61811618734990226,0.048626113845044339
13,0.66191413122022802,0.15850679578285454
14,0.68348694903774787,-0.04593625623641473
15,0.73614807146805561,0.25616409308873678
16,0.73781429256902864,0.074007165154200916
17,0.74882013920778911,-0.23025865145913604
18,0.75026043219096317,0.20287018175477911
19,0.76828302656772096,-0.23121280185580306
